update_date*,车源周转天数
2017/6/30,20
2017/6/30,11
2017/6/30,18
2017/6/30,0
2017/6/30,0
2017/6/30,16
2017/6/30,18
2017/6/30,26
2017/6/30,16
2017/6/30,2
2017/6/30,23
2017/6/30,13
2017/6/30,8
2017/6/30,13
2017/6/30,25
2017/6/30,16
2017/6/30,9
2017/6/30,17
2017/6/30,5
2017/6/30,5
2017/6/30,16
2017/6/30,22
2017/6/30,11
2017/6/30,20
2017/6/30,9
2017/6/30,6
2017/6/30,6
2017/6/30,3
2017/6/30,17
2017/6/30,1
2017/6/30,14
2017/6/30,1
2017/6/30,17
2017/6/30,16
2017/6/30,1
2017/6/30,2
2017/6/30,0
2017/6/30,14
2017/6/30,16
2017/6/30,1
2017/6/30,1
2017/6/30,17
2017/6/30,0
2017/6/30,0
2017/6/30,0
2017/6/30,2
2017/6/30,1
2017/6/30,17
2017/6/30,33
2017/6/30,42
2017/6/30,9
2017/6/30,30
2017/6/30,1
2017/6/30,18
2017/6/30,8
2017/6/30,29
2017/6/30,2
2017/6/30,29
2017/6/30,29
2017/6/30,2
2017/6/30,19
2017/6/30,0
2017/6/30,23
2017/6/30,32
2017/6/30,12
2017/6/30,21
2017/6/30,22
2017/6/30,12
2017/6/30,0
2017/6/30,21
2017/6/30,33
2017/6/30,6
2017/6/30,18
2017/6/30,20
2017/6/30,10
2017/6/30,22
2017/6/29,6
2017/6/29,20
2017/6/29,30
2017/6/29,17
2017/6/29,0
2017/6/29,22
2017/6/29,8
2017/6/29,37
2017/6/29,73
2017/6/29,4
2017/6/29,18
2017/6/29,0
2017/6/29,23
2017/6/29,10
2017/6/29,7
2017/6/29,13
2017/6/29,6
2017/6/29,55
2017/6/29,10
2017/6/29,24
2017/6/29,17
2017/6/29,41
2017/6/29,23
2017/6/29,22
2017/6/29,0
2017/6/29,33
2017/6/29,8
2017/6/29,21
2017/6/29,22
2017/6/29,16
2017/6/29,35
2017/6/29,7
2017/6/29,28
2017/6/29,15
2017/6/29,12
2017/6/29,8
2017/6/29,34
2017/6/29,53
2017/6/29,23
2017/6/29,12
2017/6/29,0
2017/6/29,27
2017/6/29,8
2017/6/29,22
2017/6/29,17
2017/6/29,16
2017/6/29,0
2017/6/29,6
2017/6/29,6
2017/6/29,65
2017/6/29,6
2017/6/29,32
2017/6/29,19
2017/6/29,19
2017/6/29,20
2017/6/29,14
2017/6/29,15
2017/6/29,27
2017/6/29,30
2017/6/29,33
2017/6/29,6
2017/6/29,10
2017/6/29,22
2017/6/29,24
2017/6/29,8
2017/6/29,29
2017/6/29,37
2017/6/29,12
2017/6/29,9
2017/6/29,33
2017/6/29,3
2017/6/29,8
2017/6/29,7
2017/6/29,23
2017/6/29,60
2017/6/29,2
2017/6/29,10
2017/6/29,10
2017/6/29,6
2017/6/29,11
2017/6/29,26
2017/6/29,27
2017/6/29,9
2017/6/29,20
2017/6/29,47
2017/6/29,79
2017/6/29,16
2017/6/29,5
2017/6/29,9
2017/6/29,13
2017/6/29,5
2017/6/29,50
2017/6/29,76
2017/6/29,9
2017/6/29,6
2017/6/29,19
2017/6/29,34
2017/6/29,10
2017/6/29,8
2017/6/29,34
2017/6/29,10
2017/6/29,11
2017/6/29,21
2017/6/29,16
2017/6/29,19
2017/6/29,10
2017/6/29,8
2017/6/29,10
2017/6/29,11
2017/6/29,29
2017/6/29,11
2017/6/29,9
2017/6/29,21
2017/6/29,6
2017/6/29,9
2017/6/29,8
2017/6/29,23
2017/6/29,34
2017/6/28,9
2017/6/28,21
2017/6/28,0
2017/6/28,0
2017/6/28,9
2017/6/28,7
2017/6/28,1
2017/6/28,0
2017/6/28,0
2017/6/28,5
2017/6/28,0
2017/6/28,20
2017/6/28,15
2017/6/28,18
2017/6/28,22
2017/6/28,14
2017/6/28,19
2017/6/28,22
2017/6/28,11
2017/6/28,5
2017/6/28,20
2017/6/28,3
2017/6/28,17
2017/6/28,21
2017/6/28,0
2017/6/28,4
2017/6/28,20
2017/6/28,20
2017/6/28,20
2017/6/28,13
2017/6/28,25
2017/6/28,15
2017/6/28,5
2017/6/28,4
2017/6/28,23
2017/6/28,0
2017/6/28,19
2017/6/28,9
2017/6/28,27
2017/6/28,20
2017/6/28,23
2017/6/28,22
2017/6/28,0
2017/6/28,37
2017/6/28,21
2017/6/28,62
2017/6/28,15
2017/6/28,18
2017/6/28,8
2017/6/28,16
2017/6/28,20
2017/6/28,25
2017/6/28,0
2017/6/28,29
2017/6/28,16
2017/6/28,0
2017/6/28,17
2017/6/28,7
2017/6/28,0
2017/6/28,0
2017/6/28,8
2017/6/28,9
2017/6/28,27
2017/6/28,26
2017/6/28,16
2017/6/28,26
2017/6/28,11
2017/6/28,22
2017/6/28,8
2017/6/28,15
2017/6/28,30
2017/6/28,11
2017/6/28,51
2017/6/28,15
2017/6/28,5
2017/6/28,26
2017/6/28,12
2017/6/28,7
2017/6/28,5
2017/6/28,62
2017/6/28,9
2017/6/28,22
2017/6/28,19
2017/6/28,46
2017/6/28,11
2017/6/28,24
2017/6/28,7
2017/6/28,58
2017/6/28,21
2017/6/28,22
2017/6/28,13
2017/6/28,15
2017/6/28,8
2017/6/28,19
2017/6/28,24
2017/6/28,11
2017/6/28,7
2017/6/28,6
2017/6/28,7
2017/6/28,11
2017/6/28,4
2017/6/28,8
2017/6/28,3
2017/6/28,4
2017/6/28,9
2017/6/28,9
2017/6/28,5
2017/6/28,12
2017/6/28,9
2017/6/28,14
2017/6/28,7
2017/6/28,12
2017/6/28,13
2017/6/28,15
2017/6/28,13
2017/6/28,20
2017/6/28,12
2017/6/28,16
2017/6/28,7
2017/6/28,12
2017/6/28,5
2017/6/28,19
2017/6/28,17
2017/6/28,17
2017/6/28,0
2017/6/28,19
2017/6/28,18
2017/6/27,17
2017/6/27,15
2017/6/27,16
2017/6/27,31
2017/6/27,0
2017/6/27,10
2017/6/27,19
2017/6/27,11
2017/6/27,12
2017/6/27,3
2017/6/27,15
2017/6/27,11
2017/6/27,2
2017/6/27,31
2017/6/27,19
2017/6/27,17
2017/6/27,13
2017/6/27,3
2017/6/27,0
2017/6/27,19
2017/6/27,26
2017/6/27,63
2017/6/27,6
2017/6/27,6
2017/6/27,6
2017/6/27,25
2017/6/27,12
2017/6/27,17
2017/6/27,23
2017/6/27,7
2017/6/27,13
2017/6/27,20
2017/6/27,0
2017/6/27,3
2017/6/27,14
2017/6/27,0
2017/6/27,18
2017/6/27,26
2017/6/27,0
2017/6/27,13
2017/6/27,8
2017/6/27,34
2017/6/27,13
2017/6/27,0
2017/6/27,0
2017/6/27,16
2017/6/27,14
2017/6/27,28
2017/6/27,31
2017/6/27,36
2017/6/27,13
2017/6/27,75
2017/6/27,8
2017/6/27,0
2017/6/27,19
2017/6/27,3
2017/6/27,7
2017/6/27,11
2017/6/27,14
2017/6/27,28
2017/6/27,0
2017/6/27,35
2017/6/27,19
2017/6/27,21
2017/6/27,63
2017/6/27,5
2017/6/27,63
2017/6/27,30
2017/6/27,35
2017/6/27,26
2017/6/27,63
2017/6/27,27
2017/6/27,6
2017/6/27,22
2017/6/27,15
2017/6/27,63
2017/6/27,14
2017/6/27,38
2017/6/27,20
2017/6/27,61
2017/6/27,17
2017/6/27,36
2017/6/27,18
2017/6/27,5
2017/6/27,8
2017/6/27,21
2017/6/27,5
2017/6/27,6
2017/6/27,23
2017/6/27,22
2017/6/27,16
2017/6/27,18
2017/6/27,15
2017/6/27,37
2017/6/27,0
2017/6/27,17
2017/6/27,10
2017/6/27,17
2017/6/27,14
2017/6/27,8
2017/6/27,21
2017/6/27,12
2017/6/27,5
2017/6/27,14
2017/6/27,17
2017/6/27,13
2017/6/27,14
2017/6/27,6
2017/6/27,30
2017/6/27,9
2017/6/27,4
2017/6/27,15
2017/6/27,5
2017/6/27,17
2017/6/27,86
2017/6/27,0
2017/6/27,11
2017/6/27,108
2017/6/26,15
2017/6/26,10
2017/6/26,17
2017/6/26,0
2017/6/26,9
2017/6/26,14
2017/6/26,14
2017/6/26,22
2017/6/26,20
2017/6/26,33
2017/6/26,0
2017/6/26,20
2017/6/26,12
2017/6/26,25
2017/6/26,4
2017/6/26,0
2017/6/26,25
2017/6/26,14
2017/6/26,14
2017/6/26,20
2017/6/26,0
2017/6/26,17
2017/6/26,73
2017/6/26,18
2017/6/26,4
2017/6/26,0
2017/6/26,0
2017/6/26,17
2017/6/26,0
2017/6/26,0
2017/6/26,7
2017/6/26,3
2017/6/26,23
2017/6/26,25
2017/6/26,22
2017/6/26,3
2017/6/26,38
2017/6/26,27
2017/6/26,25
2017/6/26,26
2017/6/26,13
2017/6/26,27
2017/6/26,14
2017/6/26,14
2017/6/26,0
2017/6/26,17
2017/6/26,16
2017/6/26,0
2017/6/26,16
2017/6/26,29
2017/6/26,18
2017/6/26,16
