年份,季度,企业,品牌,车型,排量,原城市,流向城市,车龄年,数量
2017,第二季度,广汽本田,本田,雅阁,2.4L,乌鲁木齐市,巴音郭楞蒙古自治州,9-10年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,扬州市,扬州市,12-13年,7
2017,第二季度,广汽本田,本田,雅阁,2.0L,南通市,临沂市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,南京市,茂名市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,西宁市,西宁市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,包头市,包头市,5-6年,3
2017,第二季度,广汽本田,本田,雅阁,2.0L,鹤壁市,鹤壁市,8-9年,3
2017,第二季度,广汽本田,本田,雅阁,2.4L,阿克苏地区,阿克苏地区,5-6年,3
2017,第二季度,广汽本田,本田,雅阁,2.0L,嘉峪关市,兰州市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.3L,杭州市,曲靖市,15年以上,3
2017,第二季度,广汽本田,本田,雅阁,2.4L,晋中市,晋中市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,北京市,吐鲁番地区,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,济南市,济南市,8-9年,27
2017,第二季度,广汽本田,本田,雅阁,2.4L,昆明市,昆明市,6-7年,3
2017,第二季度,广汽本田,本田,雅阁,2.4L,日照市,日照市,5-6年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,株洲市,湘潭市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,大连市,丹东市,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,天津市,大同市,12-13年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,庆阳市,庆阳市,6-7年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,重庆市,乌海市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,石河子市,石河子市,6-7年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,玉林市,河源市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,七台河市,牡丹江市,1-2年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,吉安市,梅州市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,深圳市,河源市,9-10年,9
2017,第二季度,广汽本田,本田,雅阁,2.0L,哈尔滨市,哈尔滨市,3-4年,11
2017,第二季度,广汽本田,本田,雅阁,3.0L,潍坊市,潍坊市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,重庆市,湛江市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,普洱市,普洱市,12-13年,1
2017,第二季度,广汽本田,本田,雅阁,3.0L,温州市,温州市,15年以上,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,深圳市,阳江市,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,漳州市,漳州市,11-12年,6
2017,第二季度,广汽本田,本田,雅阁,2.0L,和田地区,和田地区,11-12年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,丹东市,丹东市,4-5年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,伊犁哈萨克自治州,伊犁哈萨克自治州,7-8年,4
2017,第二季度,广汽本田,本田,雅阁,2.4L,铜仁市,龙岩市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,台州市,嘉兴市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,湛江市,茂名市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,绍兴市,茂名市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,琼北,海口市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,玉溪市,玉溪市,8-9年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,六安市,安阳市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,大理白族自治州,大理白族自治州,12-13年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,湖州市,武威市,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,滨州市,长春市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,济宁市,济宁市,4-5年,3
2017,第二季度,广汽本田,本田,雅阁,2.0L,琼北,琼北,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,上海市,淮南市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,昌吉回族自治州,乌鲁木齐市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,十堰市,十堰市,11-12年,5
2017,第二季度,广汽本田,本田,雅阁,2.0L,马鞍山市,马鞍山市,15年以上,1
2017,第二季度,广汽本田,本田,雅阁,2.3L,荆门市,荆门市,15年以上,1
