北京市流出目标地区,外迁量o*
铁岭市,133
松原市,84
巴音郭楞蒙古自治州,83
和田地区,77
伊犁哈萨克自治州,68
呼和浩特市,55
白城市,40
兴安盟,40
葫芦岛市,39
盘锦市,39
大同市,37
茂名市,31
通辽市,29
赤峰市,22
营口市,19
哈尔滨市,18
锦州市,18
白银市,18
湛江市,17
阿克苏地区,17
长春市,15
潍坊市,14
喀什地区,14
鄂尔多斯市,13
锡林郭勒盟,12
大庆市,11
丹东市,10
巴彦淖尔市,10
包头市,8
兰州市,8
吐鲁番地区,8
银川市,8
菏泽市,7
梅州市,7
大连市,7
绥化市,7
临汾市,6
牡丹江市,6
乌兰察布市,6
太原市,6
齐齐哈尔市,6
信阳市,6
庆阳市,6
廊坊市,5
聊城市,5
哈密地区,5
天水市,5
鸡西市,5
武汉市,4
吕梁市,4
鞍山市,4
吉林市,4
青岛市,4
双鸭山市,4
七台河市,3
博尔塔拉蒙古自治州,3
长沙市,3
西安市,3
乌鲁木齐市,3
岳阳市,3
云浮市,3
滨州市,3
周口市,3
临沂市,3
天津市,3
平顶山市,3
保定市,3
黔西南布依族苗族自治州,3
黔南布依族苗族自治州,3
克孜勒苏柯尔克孜自治州,3
河源市,3
沈阳市,3
泉州市,2
重庆市,2
汕头市,2
铜仁市,2
乌海市,2
商丘市,2
阳泉市,2
泰安市,2
济南市,2
铜川市,2
武威市,2
承德市,2
济宁市,2
通化市,2
运城市,2
呼伦贝尔市,2
长治市,2
朝阳市,2
抚顺市,2
南通市,2
濮阳市,2
烟台市,2
石嘴山市,2
南阳市,2
晋城市,2
白山市,2
定西市,2
昌吉回族自治州,2
益阳市,1
宜昌市,1
宜春市,1
丽江市,1
安阳市,1
秦皇岛市,1
宿迁市,1
镇江市,1
孝感市,1
厦门市,1
威海市,1
亳州市,1
芜湖市,1
阜新市,1
淮安市,1
海东地区,1
仙桃市,1
伊春市,1
大兴安岭地区,1
洛阳市,1
塔城地区,1
阜阳市,1
荆州市,1
新乡市,1
四平市,1
开封市,1
张家口市,1
金昌市,1
张掖市,1
邯郸市,1
汕尾市,1
唐山市,1
阿勒泰地区,1
忻州市,1
怀化市,1
遂宁市,1
榆林市,1
南京市,1
蚌埠市,1
来宾市,1
