广州市流出目标地区,外迁量o*
茂名市,65
湛江市,42
河源市,33
云浮市,33
阳江市,29
清远市,21
梅州市,18
韶关市,14
汕头市,14
玉林市,11
揭阳市,10
汕尾市,9
南宁市,8
佛山市,7
郴州市,6
岳阳市,5
钦州市,5
珠海市,5
襄阳市,4
和田地区,4
惠州市,3
常德市,3
六盘水市,3
呼和浩特市,3
蚌埠市,3
贺州市,3
长沙市,3
合肥市,3
伊犁哈萨克自治州,2
江门市,2
宜昌市,2
安庆市,2
泉州市,2
海口市,2
南昌市,2
益阳市,2
永州市,2
梧州市,2
株洲市,2
哈密地区,2
大连市,2
上饶市,2
周口市,1
潍坊市,1
北海市,1
潮州市,1
淮南市,1
淮北市,1
濮阳市,1
淄博市,1
绥化市,1
肇庆市,1
济宁市,1
信阳市,1
荆州市,1
佳木斯市,1
荆门市,1
萍乡市,1
西安市,1
乌鲁木齐市,1
武汉市,1
赤峰市,1
铁岭市,1
包头市,1
铜仁市,1
锦州市,1
临汾市,1
咸宁市,1
临夏回族自治州,1
中山市,1
哈尔滨市,1
阜新市,1
恩施土家族苗族自治州,1
平顶山市,1
随州市,1
黄冈市,1
黄山市,1
安阳市,1
固原市,1
黔西南布依族苗族自治州,1
孝感市,1
太原市,1
齐齐哈尔市,1
大庆市,1
莆田市,0
大同市,0
天水市,0
天津市,0
天门市,0
大兴安岭地区,0
威海市,0
娄底市,0
塔城地区,0
宁德市,0
宁波市,0
垦区,0
安康市,0
四平市,0
安顺市,0
定西市,0
宜宾市,0
宜州市,0
嘉峪关市,0
宜春市,0
宝鸡市,0
宣城市,0
宿州市,0
宿迁市,0
山南地区,0
嘉兴市,0
崇左市,0
巴中市,0
巴彦淖尔市,0
巴音郭楞蒙古自治州,0
常州市,0
喀什地区,0
平凉市,0
商洛市,0
广东省公安厅交通管理局车辆管理所核发的港澳入出境车号牌,0
广元市,0
广安市,0
庆阳市,0
廊坊市,0
延安市,0
延边朝鲜族自治州,0
开封市,0
张家口市,0
张家界市,0
张掖市,0
徐州市,0
德宏傣族景颇族自治州,0
德州市,0
德阳市,0
忻州市,0
怀化市,0
怒江傈僳族自治州,0
商丘市,0
唐山市,0
成都市,0
扬州市,0
承德市,0
抚州市,0
抚顺市,0
拉萨市,0
咸阳市,0
攀枝花市,0
文山壮族苗族自治州,0
新乡市,0
新余市,0
无锡市,0
日喀则地区,0
日照市,0
昆明市,0
昌吉回族自治州,0
昌都地区,0
昭通市,0
晋中市,0
晋城市,0
普洱市,0
景德镇市,0
曲靖市,0
朔州市,0
朝阳市,0
本溪市,0
来宾市,0
杨凌,0
杭州市,0
松原市,0
林芝地区,0
果洛藏族自治州,0
枣庄市,0
柳州市,0
呼伦贝尔市,0
桂林市,0
吴忠市,0
吕梁市,0
楚雄彝族自治州,0
榆林市,0
武威市,0
吐鲁番地区,0
毕节地区,0
毕节市,0
吉林市,0
汉中市,0
吉安市,0
台州市,0
双鸭山市,0
池州市,0
沈阳市,0
沧州市,0
河池市,0
厦门市,0
博尔塔拉蒙古自治州,0
泰安市,0
泰州市,0
