上海市流出目标地区,外迁量o*
茂名市,55
揭阳市,20
汕头市,15
河源市,12
湛江市,12
潍坊市,11
潮州市,11
塔城地区,10
和田地区,9
云浮市,9
呼和浩特市,9
喀什地区,9
杭州市,8
巴音郭楞蒙古自治州,8
鄂尔多斯市,6
伊犁哈萨克自治州,6
梅州市,6
汕尾市,6
巴彦淖尔市,6
阿克苏地区,5
南昌市,5
哈尔滨市,5
防城港市,5
合肥市,5
大庆市,4
昌吉回族自治州,4
宜春市,4
乌鲁木齐市,4
博尔塔拉蒙古自治州,4
六安市,4
铜仁市,3
南通市,3
银川市,3
呼伦贝尔市,3
枣庄市,3
大连市,3
盘锦市,3
镇江市,3
淮南市,3
石河子市,2
芜湖市,2
包头市,2
兰州市,2
哈密地区,2
温州市,2
长春市,2
商丘市,2
锡林郭勒盟,2
周口市,2
阳江市,2
葫芦岛市,2
日照市,2
天津市,2
濮阳市,2
九江市,2
黑河市,2
大同市,2
乌兰察布市,1
滨州市,1
滁州市,1
南阳市,1
吴忠市,1
烟台市,1
南宁市,1
玉林市,1
南京市,1
湘潭市,1
白银市,1
北海市,1
红河哈尼族彝族自治州,1
绥化市,1
六盘水市,1
淄博市,1
克孜勒苏柯尔克孜自治州,1
济宁市,1
洛阳市,1
荆门市,1
襄阳市,1
赤峰市,1
通化市,1
武汉市,1
漯河市,1
遵义市,1
榆林市,1
郑州市,1
酒泉市,1
乌海市,1
钦州市,1
锦州市,1
本溪市,1
朝阳市,1
阜阳市,1
阿勒泰地区,1
陇南市,1
安庆市,1
拉萨市,1
安阳市,1
抚州市,1
定西市,1
宜宾市,1
怀化市,1
忻州市,1
青岛市,1
徐州市,1
宣城市,1
鞍山市,1
马鞍山市,1
岳阳市,1
铁岭市,0
崇左市,0
巴中市,0
宿迁市,0
宿州市,0
常州市,0
常德市,0
平凉市,0
平顶山市,0
广东省公安厅交通管理局车辆管理所核发的港澳入出境车号牌,0
广元市,0
广安市,0
广州市,0
庆阳市,0
廊坊市,0
延安市,0
延边朝鲜族自治州,0
开封市,0
张家口市,0
张家界市,0
张掖市,0
宝鸡市,0
德宏傣族景颇族自治州,0
德州市,0
德阳市,0
宜昌市,0
宜州市,0
怒江傈僳族自治州,0
恩施土家族苗族自治州,0
惠州市,0
成都市,0
扬州市,0
承德市,0
安顺市,0
抚顺市,0
安康市,0
宁波市,0
攀枝花市,0
文山壮族苗族自治州,0
新乡市,0
新余市,0
无锡市,0
日喀则地区,0
宁德市,0
昆明市,0
孝感市,0
昌都地区,0
昭通市,0
晋中市,0
晋城市,0
普洱市,0
景德镇市,0
曲靖市,0
朔州市,0
娄底市,0
威海市,0
来宾市,0
杨凌,0
太原市,0
松原市,0
林芝地区,0
果洛藏族自治州,0
天门市,0
柳州市,0
株洲市,0
桂林市,0
天水市,0
梧州市,0
楚雄彝族自治州,0
大理白族自治州,0
武威市,0
大兴安岭地区,0
毕节地区,0
毕节市,0
永州市,0
汉中市,0
垦区,0
固原市,0
江门市,0
池州市,0
沈阳市,0
沧州市,0
河池市,0
四平市,0
泉州市,0
泰安市,0
泰州市,0
泸州市,0
洋浦经济开发区,0
嘉峪关市,0
济南市,0
嘉兴市,0
济源市,0
海东地区,0
海北藏族自治州,0
海南藏族自治州,0
海口市,0
海西蒙古族藏族自治州,0
商洛市,0
淮北市,0
唐山市,0
淮安市,0
深圳市,0
清远市,0
咸阳市,0
渭南市,0
港澳入出境车号牌,0
湖州市,0
咸宁市,0
湘西土家族苗族自治州,0
吕梁市,0
吐鲁番地区,0
吉林市,0
吉安市,0
漳州市,0
台州市,0
潜江市,0
双鸭山市,0
厦门市,0
南平市,0
焦作市,0
牡丹江市,0
南充市,0
玉树藏族自治州,0
玉溪市,0
珠海市,0
琼北,0
琼南,0
甘南藏族自治州,0
甘孜藏族自治州,0
白城市,0
白山市,0
十堰市,0
百色市,0
益阳市,0
盐城市,0
北京市,0
眉山市,0
石嘴山市,0
石家庄市,0
凉山彝族自治州,0
神农架林区,0
福州市,0
秦皇岛市,0
内江市,0
绍兴市,0
兴安盟,0
绵阳市,0
聊城市,0
肇庆市,0
自贡市,0
舟山市,0
兴安,0
苏州市,0
克拉玛依市,0
荆州市,0
信阳市,0
莆田市,0
莱芜市,0
菏泽市,0
萍乡市,0
营口市,0
保山市,0
蚌埠市,0
衡水市,0
衡阳市,0
衢州市,0
保定市,0
西双版纳傣族自治州,0
西宁市,0
西安市,0
许昌市,0
贵港市,0
贵阳市,0
贺州市,0
资阳市,0
赣州市,0
佳木斯市,0
辽源市,0
辽阳市,0
达州市,0
运城市,0
连云港市,0
迪庆藏族自治州,0
佛山市,0
通辽市,0
遂宁市,0
伊春市,0
邢台市,0
那曲地区,0
邯郸市,0
邵阳市,0
仙桃市,0
郴州市,0
亳州市,0
鄂州市,0
乐山市,0
重庆市,0
金华市,0
金昌市,0
七台河市,0
山南地区,0
铜仁地区,0
丽江市,0
铜川市,0
铜陵市,0
丽水市,0
丹东市,0
临沧市,0
临沂市,0
临汾市,0
长沙市,0
长治市,0
长白山保护开发区,0
阜新市,0
临夏回族自治州,0
中山市,0
中卫市,0
阳泉市,0
东营市,0
东莞市,0
阿坝藏族羌族自治州,0
阿拉善盟,0
阿里地区,0
上饶市,0
随州市,0
雅安市,0
三门峡市,0
三沙市,0
韶关市,0
三明市,0
驻马店市,0
鸡西市,0
鹤壁市,0
鹤岗市,0
鹰潭市,0
黄冈市,0
黄南藏族自治州,0
黄山市,0
黄石市,0
三亚市,0
黔东南苗族侗族自治州,0
黔南布依族苗族自治州,0
黔西南布依族苗族自治州,0
齐齐哈尔市,0
龙岩市,0
max: 52.0%
