地区,外迁量O,流入量I,本地过户量L,总交易量Q(O+I+L）,外迁率KO（O/Q）,本地过户率KL（L/Q）,外迁值VO(KO*O)的平方根,外迁指数IO=VO/VOmax,本地交易值VL(KL*L)的平方根,本地交易指数IL=VL/Vlmax
七台河市,14,12,28,54,0.26,0.52,1.91,0.07,3.82,0.17
三亚市,22,8,24,54,0.41,0.44,3.0,0.11,3.25,0.15
三明市,4,8,102,114,0.04,0.89,0.4,0.01,9.53,0.43
三沙市,0,22,0,22,0.0,0.0,0.0,0.0,0.0,0.0
三门峡市,1,1,29,31,0.03,0.94,0.17,0.01,5.22,0.24
上海市,391,8,519,918,0.43,0.57,12.97,0.46,17.2,0.78
上饶市,14,11,30,55,0.25,0.55,1.87,0.07,4.06,0.18
东莞市,29,20,534,583,0.05,0.92,1.2,0.04,22.16,1.0
东营市,11,16,119,146,0.08,0.82,0.94,0.03,9.88,0.45
中卫市,7,5,8,20,0.35,0.4,1.57,0.06,1.79,0.08
中山市,5,4,198,207,0.02,0.96,0.32,0.01,13.79,0.62
临夏回族自治州,27,35,18,80,0.34,0.23,3.03,0.11,2.03,0.09
临汾市,21,25,88,134,0.16,0.66,1.83,0.06,7.62,0.34
临沂市,44,72,205,321,0.14,0.64,2.48,0.09,11.45,0.52
临沧市,0,0,23,23,0.0,1.0,0.0,0.0,4.8,0.22
丹东市,0,47,56,103,0.0,0.54,0.0,0.0,5.5,0.25
丽水市,15,5,110,130,0.12,0.85,1.34,0.05,9.67,0.44
丽江市,1,3,9,13,0.08,0.69,0.28,0.01,2.49,0.11
乌兰察布市,13,11,27,51,0.25,0.53,1.8,0.06,3.78,0.17
乌海市,11,16,29,56,0.2,0.52,1.48,0.05,3.88,0.18
乌鲁木齐市,54,184,225,463,0.12,0.49,2.55,0.09,10.5,0.47
乐山市,6,4,71,81,0.07,0.88,0.65,0.02,7.9,0.36
九江市,9,16,56,81,0.11,0.69,0.99,0.03,6.22,0.28
云浮市,5,163,106,274,0.02,0.39,0.32,0.01,6.43,0.29
亳州市,20,9,29,58,0.34,0.5,2.61,0.09,3.81,0.17
仙桃市,4,2,11,17,0.24,0.65,0.98,0.03,2.67,0.12
伊春市,11,6,25,42,0.26,0.6,1.69,0.06,3.87,0.17
伊犁哈萨克自治州,5,159,76,240,0.02,0.32,0.32,0.01,4.93,0.22
佛山市,50,11,463,524,0.1,0.88,2.24,0.08,20.19,0.91
佳木斯市,15,25,63,103,0.15,0.61,1.5,0.05,6.2,0.28
保定市,17,5,243,265,0.06,0.92,1.01,0.04,14.95,0.67
保山市,0,3,8,11,0.0,0.73,0.0,0.0,2.42,0.11
信阳市,16,12,42,70,0.23,0.6,1.92,0.07,5.02,0.23
克孜勒苏柯尔克孜自治州,11,15,24,50,0.22,0.48,1.56,0.06,3.39,0.15
克拉玛依市,8,6,19,33,0.24,0.58,1.39,0.05,3.32,0.15
六安市,32,13,48,93,0.34,0.52,3.3,0.12,5.0,0.23
六盘水市,5,15,14,34,0.15,0.41,0.87,0.03,2.4,0.11
兰州市,36,84,117,237,0.15,0.49,2.32,0.08,7.57,0.34
兴安,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
兴安盟,14,61,39,114,0.12,0.34,1.3,0.05,3.64,0.16
内江市,9,6,46,61,0.15,0.75,1.16,0.04,5.87,0.26
凉山彝族自治州,4,1,20,25,0.16,0.8,0.8,0.03,4.0,0.18
包头市,14,120,132,266,0.05,0.5,0.84,0.03,8.12,0.37
北京市,1292,17,768,2077,0.62,0.37,28.3,1.0,16.86,0.76
北海市,3,11,37,51,0.06,0.73,0.42,0.01,5.2,0.23
十堰市,13,3,56,72,0.18,0.78,1.53,0.05,6.61,0.3
南京市,140,3,236,379,0.37,0.62,7.2,0.25,12.1,0.55
南充市,22,2,51,75,0.29,0.68,2.53,0.09,5.89,0.27
南宁市,25,74,185,284,0.09,0.65,1.5,0.05,10.97,0.49
南平市,8,6,57,71,0.11,0.8,0.94,0.03,6.75,0.3
南昌市,77,22,111,210,0.37,0.53,5.34,0.19,7.67,0.35
南通市,50,12,231,293,0.17,0.79,2.92,0.1,13.51,0.61
南阳市,25,36,97,158,0.16,0.61,2.0,0.07,7.69,0.35
博尔塔拉蒙古自治州,22,23,21,66,0.33,0.32,2.69,0.1,2.59,0.12
厦门市,36,4,246,286,0.13,0.86,2.16,0.08,14.55,0.66
双鸭山市,21,19,56,96,0.22,0.58,2.15,0.08,5.7,0.26
台州市,69,8,210,287,0.24,0.73,4.07,0.14,12.38,0.56
合肥市,84,38,187,309,0.27,0.61,4.76,0.17,10.68,0.48
吉安市,10,6,51,67,0.15,0.76,1.22,0.04,6.23,0.28
吉林市,24,19,77,120,0.2,0.64,2.19,0.08,7.02,0.32
吐鲁番地区,6,16,6,28,0.21,0.21,1.12,0.04,1.12,0.05
吕梁市,21,8,36,65,0.32,0.55,2.59,0.09,4.45,0.2
吴忠市,7,65,34,106,0.07,0.32,0.7,0.02,3.3,0.15
周口市,14,16,21,51,0.27,0.41,1.94,0.07,2.93,0.13
呼伦贝尔市,8,20,50,78,0.1,0.64,0.89,0.03,5.66,0.26
呼和浩特市,27,184,163,374,0.07,0.44,1.37,0.05,8.47,0.38
和田地区,5,212,70,287,0.02,0.24,0.32,0.01,4.1,0.18
咸宁市,10,11,49,70,0.14,0.7,1.18,0.04,5.86,0.26
咸阳市,8,3,15,26,0.31,0.58,1.57,0.06,2.95,0.13
哈密地区,3,25,31,59,0.05,0.53,0.39,0.01,4.05,0.18
