城市,首次发布时间,标准品牌,标准车系,站点,成份车商名,来源,天眼属性
无锡,2017-09-30,福特,嘉年华两厢,瓜子,瓜子（无锡）,瓜子网,2
青岛,2017-09-30,福特,嘉年华三厢,瓜子,瓜子（青岛）,瓜子网,2
武汉,2017-09-30,福特,嘉年华三厢,淘车,人人车（武汉）,人人车网,2
成都,2017-09-30,福特,嘉年华两厢,淘车,人人车（成都）,人人车网,2
贵阳,2017-09-30,福特,嘉年华两厢,二手车之家,看车网（贵阳）,看车网,2
武汉,2017-09-30,福特,嘉年华两厢,淘车,人人车（武汉）,人人车网,2
西安,2017-09-30,福特,嘉年华两厢,淘车,人人车（西安）,人人车网,2
大连,2017-09-30,福特,嘉年华三厢,淘车,人人车（大连）,人人车网,2
贵阳,2017-09-30,福特,嘉年华三厢,淘车,人人车（贵阳）,人人车网,2
阜阳,2017-09-30,福特,嘉年华三厢,瓜子,瓜子（阜阳）,瓜子网,2
武汉,2017-09-30,福特,嘉年华两厢,瓜子,瓜子（武汉）,瓜子网,2
上海,2017-09-30,福特,嘉年华三厢,淘车,人人车（上海）,人人车网,2
西安,2017-09-30,福特,嘉年华两厢,二手车之家,西安车管家,网络媒体,3
合肥,2017-09-30,福特,嘉年华三厢,淘车,人人车（合肥）,人人车网,2
台州,2017-09-30,福特,嘉年华两厢,百优卡,台州百优卡二手车经纪有限公司,网络媒体,3
陕西,2017-09-30,福特,嘉年华两厢,东风悦达起亚,榆林市阳光汽车发展有限公司,东风悦达起亚,3
邯郸,2017-09-30,福特,嘉年华两厢,二手车之家,邯郸市奥华汽车销售服务有限公司,一汽奥迪,3
厦门,2017-09-30,福特,嘉年华两厢,瓜子,瓜子（厦门）,瓜子网,2
深圳,2017-09-30,福特,嘉年华两厢,二手车之家,看车网（深圳）,看车网,2
淄博,2017-09-30,福特,嘉年华两厢,瓜子,瓜子（淄博）,瓜子网,2
太原,2017-09-30,福特,嘉年华三厢,瓜子,瓜子（太原）,瓜子网,2
潍坊,2017-09-30,福特,嘉年华两厢,二手车之家,潍坊安心汽车销售有限公司,网络媒体,3
天津,2017-09-30,福特,嘉年华三厢,淘车,人人车（天津）,人人车网,2
南京,2017-09-29,福特,嘉年华三厢,淘车,人人车（南京）,人人车网,2
郑州,2017-09-29,福特,嘉年华两厢,二手车之家,郑州宝莲祥汽车销售服务有限公司,华晨宝马,3
太原,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（太原）,瓜子网,2
西安,2017-09-29,福特,嘉年华两厢,淘车,西安优自得汽车销售服务有限公司,网络媒体,3
南宁,2017-09-29,福特,嘉年华两厢,淘车,人人车（南宁）,人人车网,2
泰州,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（泰州）,瓜子网,2
泰州,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（泰州）,瓜子网,2
惠州,2017-09-29,福特,嘉年华两厢,二手车之家,看车网（惠州）,看车网,2
石家庄,2017-09-29,福特,嘉年华三厢,二手车之家,看车网（石家庄）,看车网,2
广州,2017-09-29,福特,嘉年华两厢,淘车,人人车（广州）,人人车网,2
深圳,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（深圳）,瓜子网,2
成都,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（成都）,瓜子网,2
西安,2017-09-29,福特,嘉年华两厢,淘车,人人车（西安）,人人车网,2
乐山,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（乐山）,瓜子网,2
温州,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（温州）,瓜子网,2
石家庄,2017-09-29,福特,嘉年华两厢,淘车,人人车（石家庄）,人人车网,2
厦门,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（厦门）,瓜子网,2
桂林,2017-09-29,福特,嘉年华三厢,淘车,看车网（桂林）,看车网,2
南京,2017-09-29,福特,嘉年华三厢,淘车,看车网（南京）,看车网,2
石家庄,2017-09-29,福特,嘉年华两厢,淘车,人人车（石家庄）,人人车网,2
石家庄,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（石家庄）,瓜子网,2
临沂,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（临沂）,瓜子网,2
徐州,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（徐州）,瓜子网,2
太原,2017-09-29,福特,嘉年华两厢,二手车之家,山西神迪汽车销售有限公司,一汽奥迪,3
桂林,2017-09-29,福特,嘉年华三厢,二手车之家,看车网（桂林）,看车网,2
太原,2017-09-29,福特,嘉年华两厢,二手车之家,山西聚鑫晟达旧机动车经纪服务有限公司,网络媒体,3
佛山,2017-09-29,福特,嘉年华三厢,二手车之家,看车网（佛山）,看车网,2
重庆,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（重庆）,瓜子网,2
大连,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（大连）,瓜子网,2
上海,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（上海）,瓜子网,2
东莞,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（东莞）,瓜子网,2
深圳,2017-09-28,福特,嘉年华两厢,淘车,深圳市奥德汽车贸易有限公司,一汽奥迪,3
西安,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（西安）,瓜子网,2
西安,2017-09-28,福特,嘉年华两厢,淘车,西安优自得汽车销售服务有限公司,网络媒体,3
深圳,2017-09-28,福特,嘉年华两厢,二手车之家,深圳市锦龙汽车贸易有限公司,一汽奥迪,3
合肥,2017-09-28,福特,嘉年华三厢,淘车,人人车（合肥）,人人车网,2
泰州,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（泰州）,瓜子网,2
武汉,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（武汉）,瓜子网,2
南京,2017-09-28,福特,嘉年华两厢,二手车之家,南京佳信二手车,网络媒体,3
北京,2017-09-28,福特,嘉年华两厢,淘车,人人车（北京）,人人车网,2
运城,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（运城）,瓜子网,2
佛山,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（佛山）,瓜子网,2
长春,2017-09-28,福特,嘉年华两厢,淘车,人人车（长春）,人人车网,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
中山,2017-09-28,福特,嘉年华三厢,瓜子,瓜子（中山）,瓜子网,2
南昌,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（南昌）,瓜子网,2
太原,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（太原）,瓜子网,2
郑州,2017-09-28,福特,嘉年华三厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
德阳,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（德阳）,瓜子网,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
鞍山,2017-09-28,福特,嘉年华三厢,瓜子,瓜子（鞍山）,瓜子网,2
深圳,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（深圳）,瓜子网,2
杭州,2017-09-27,福特,嘉年华两厢,二手车之家,杭州骏达旧机动车经纪有限公司,网络媒体,3
成都,2017-09-27,福特,嘉年华两厢,瓜子,瓜子（成都）,瓜子网,2
惠州,2017-09-27,福特,嘉年华两厢,二手车之家,看车网（惠州）,看车网,2
苏州,2017-09-27,福特,嘉年华两厢,二手车之家,苏州信宝行汽车销售服务有限公司,华晨宝马,3
上海,2017-09-27,福特,嘉年华两厢,瓜子,瓜子（上海）,瓜子网,2
龙岩,2017-09-27,福特,嘉年华两厢,二手车之家,龙岩市新罗区旺荣二手车行,网络媒体,3
青岛,2017-09-27,福特,嘉年华三厢,瓜子,瓜子（青岛）,瓜子网,2
宁波,2017-09-27,福特,嘉年华两厢,瓜子,瓜子（宁波）,瓜子网,2
常德,2017-09-27,福特,嘉年华两厢,二手车之家,常德澧县九澧二手车,网络媒体,3
上海,2017-09-27,福特,嘉年华三厢,瓜子,瓜子（上海）,瓜子网,2
南宁,2017-09-27,福特,嘉年华两厢,二手车之家,看车网（南宁）,看车网,2
