城市,首次发布时间,标准品牌,标准车系,站点,成份车商名,来源,天眼属性
成都,2017/6/30 23:55,别克,凯越,看车网,,,
福州,2017/6/30 23:55,别克,凯越,淘车,,,
宁波,2017/6/30 23:52,别克,凯越,二手车之家,,,
常州,2017/6/30 23:44,别克,凯越,淘车,看车网（常州）,看车网,2
黄冈,2017/6/30 23:41,别克,凯越,二手车之家,,,
大庆,2017/6/30 23:39,别克,凯越,二手车之家,,,
长沙,2017/6/30 23:38,别克,凯越,百姓,,,
天津,2017/6/30 23:34,别克,凯越HRV,二手车之家,,,
西安,2017/6/30 23:33,别克,凯越,大搜车,,,
广州,2017/6/30 23:33,别克,凯越,百姓,,,
郴州,2017/6/30 23:32,别克,凯越,二手车之家,,,
石家庄,2017/6/30 23:28,别克,凯越,淘车,,,
绵阳,2017/6/30 23:26,别克,凯越,二手车之家,,,
临沂,2017/6/30 23:24,别克,凯越,二手车之家,,,
安阳,2017/6/30 23:23,别克,凯越,百姓,,,
九江,2017/6/30 23:21,别克,凯越,二手车之家,,,
安庆,2017/6/30 23:19,别克,凯越,二手车之家,,,
宁波,2017/6/30 23:18,别克,凯越,淘车,,,
上海,2017/6/30 23:14,别克,凯越,淘车,看车网（上海）,看车网,2
贵阳,2017/6/30 23:12,别克,凯越,搜狐,,,
沈阳,2017/6/30 23:05,别克,凯越,中古车网,,,
绍兴,2017/6/30 23:03,别克,凯越,华夏二手车,,,
南京,2017/6/30 23:02,别克,凯越,二手车之家,,,
合肥,2017/6/30 22:58,别克,凯越,华夏二手车,,,
南通,2017/6/30 22:58,别克,凯越,看车网,,,
大连,2017/6/30 22:56,别克,凯越,淘车,人人车（大连）,人人车网,2
七台河,2017/6/30 22:53,别克,凯越旅行车,百姓,,,
苏州,2017/6/30 22:53,别克,凯越,百姓,,,
重庆,2017/6/30 22:50,别克,凯越,淘车,,,
北京,2017/6/30 22:49,别克,凯越,搜狐,,,
哈尔滨,2017/6/30 22:48,别克,凯越,搜狐,,,
南通,2017/6/30 22:43,别克,凯越,淘车,,,
福州,2017/6/30 22:43,别克,凯越,273,,,
大连,2017/6/30 22:39,别克,凯越,二手车之家,,,
扬州,2017/6/30 22:39,别克,凯越,百姓,,,
南通,2017/6/30 22:35,别克,凯越,淘车,看车网（南通）,看车网,2
成都,2017/6/30 22:33,别克,凯越,淘车,,,
潍坊,2017/6/30 22:33,别克,凯越,百姓,,,
广州,2017/6/30 22:32,别克,凯越旅行车,淘车,,,
沈阳,2017/6/30 22:25,别克,凯越,百姓,,,
丽江,2017/6/30 22:24,别克,凯越,273,,,
济南,2017/6/30 22:21,别克,凯越,搜狐,,,
巴中,2017/6/30 22:21,别克,凯越,淘车,,,
合肥,2017/6/30 22:17,别克,凯越,淘车,人人车（合肥）,人人车网,2
东莞,2017/6/30 22:10,别克,凯越,淘车,,,
贵港,2017/6/30 22:07,别克,凯越,淘车,看车网（贵港）,看车网,2
福州,2017/6/30 22:06,别克,凯越,273,,,
深圳,2017/6/30 22:00,别克,凯越,二手车之家,,,
洛阳,2017/6/30 21:59,别克,凯越,淘车,看车网（洛阳）,看车网,2
牡丹江,2017/6/30 21:56,别克,凯越,百姓,,,
南通,2017/6/30 21:51,别克,凯越,淘车,看车网（南通）,看车网,2
聊城,2017/6/30 21:51,别克,凯越,百姓,,,
南通,2017/6/30 21:48,别克,凯越,淘车,看车网（南通）,看车网,2
合肥,2017/6/30 21:37,别克,凯越,搜狐,,,
重庆,2017/6/30 21:36,别克,凯越,淘车,看车网（重庆）,看车网,2
沈阳,2017/6/30 21:36,别克,凯越,二手车之家,,,
成都,2017/6/30 21:34,别克,凯越,淘车,,,
上海,2017/6/30 21:32,别克,凯越,百姓,,,
沈阳,2017/6/30 21:31,别克,凯越,大搜车,,,
常州,2017/6/30 21:26,别克,凯越,淘车,,,
枣庄,2017/6/30 21:22,别克,凯越,百姓,,,
南京,2017/6/30 21:21,别克,凯越,搜狐,,,
泉州,2017/6/30 21:19,别克,凯越,淘车,,,
南昌,2017/6/30 21:19,别克,凯越,273,,,
武汉,2017/6/30 21:17,别克,凯越,淘车,,,
太原,2017/6/30 21:17,别克,凯越,淘车,,,
深圳,2017/6/30 21:17,别克,凯越,淘车,,,
聊城,2017/6/30 21:17,别克,凯越,淘车,,,
重庆,2017/6/30 21:09,别克,凯越,淘车,,,
岳阳,2017/6/30 21:01,别克,凯越,淘车,看车网（岳阳）,看车网,2
永州,2017/6/30 21:01,别克,凯越,华夏二手车,,,
济南,2017/6/30 20:55,别克,凯越,看车网,,,
佛山,2017/6/30 20:52,别克,凯越,淘车,,,
汕头,2017/6/30 20:50,别克,凯越,淘车,看车网（汕头）,看车网,2
西安,2017/6/30 20:48,别克,凯越,二手车之家,,,
重庆,2017/6/30 20:44,别克,凯越,淘车,,,
湖州,2017/6/30 20:36,别克,凯越,华夏二手车,,,
宿迁,2017/6/30 20:36,别克,凯越,华夏二手车,,,
苏州,2017/6/30 20:34,别克,凯越,淘车,看车网（苏州）,看车网,2
长兴,2017/6/30 20:33,别克,凯越,百姓,,,
东莞,2017/6/30 20:32,别克,凯越,淘车,,,
咸阳,2017/6/30 20:32,别克,凯越,搜狐,,,
厦门,2017/6/30 20:28,别克,凯越,大搜车,,,
东莞,2017/6/30 20:27,别克,凯越,百姓,,,
玉林,2017/6/30 20:21,别克,凯越,二手车之家,,,
大同,2017/6/30 20:19,别克,凯越,二手车之家,看车网（大同）,看车网,2
宁波,2017/6/30 20:17,别克,凯越,淘车,,,
宁波,2017/6/30 20:17,别克,凯越,淘车,,,
信阳,2017/6/30 20:15,别克,凯越,淘车,,,
南京,2017/6/30 20:09,别克,凯越,淘车,看车网（南京）,看车网,2
沈阳,2017/6/30 20:03,别克,凯越,二手车之家,看车网（沈阳）,看车网,2
西宁,2017/6/30 19:57,别克,凯越,淘车,,,
惠州,2017/6/30 19:53,别克,凯越,搜狐,,,
沈阳,2017/6/30 19:40,别克,凯越,二手车之家,,,
鞍山,2017/6/30 19:40,别克,凯越,百姓,,,
宜春,2017/6/30 19:38,别克,凯越,淘车,,,
佛山,2017/6/30 19:37,别克,凯越,淘车,人人车（佛山）,人人车网,2
南宁,2017/6/30 19:35,别克,凯越,搜狐,,,
宁波,2017/6/30 19:33,别克,凯越,淘车,,,
厦门,2017/6/30 19:31,别克,凯越,百姓,,,
安阳,2017/6/30 19:26,别克,凯越,百姓,,,
鹤山,2017/6/30 19:25,别克,凯越,百姓,,,
淮安,2017/6/30 19:25,别克,凯越,百姓,,,
杭州,2017/6/30 19:24,别克,凯越,搜狐,,,
哈尔滨,2017/6/30 19:24,别克,凯越,华夏二手车,,,
合肥,2017/6/30 19:17,别克,凯越,搜狐,,,
淮安,2017/6/30 19:17,别克,凯越,百姓,,,
朝阳,2017/6/30 19:09,别克,凯越,百姓,,,
上海,2017/6/30 19:07,别克,凯越,搜狐,,,
南海,2017/6/30 19:02,别克,凯越,百姓,,,
宁波,2017/6/30 18:49,别克,凯越,淘车,,,
徐州,2017/6/30 18:41,别克,凯越,百姓,,,
福州,2017/6/30 18:38,别克,凯越,273,,,
长沙,2017/6/30 18:36,别克,凯越,华夏二手车,,,
苏州,2017/6/30 18:35,别克,凯越,273,,,
上饶,2017/6/30 18:31,别克,凯越,淘车,,,
钦州,2017/6/30 18:29,别克,凯越,百姓,,,
武汉,2017/6/30 18:23,别克,凯越,淘车,,,
红河,2017/6/30 18:21,别克,凯越,273,,,
宁波,2017/6/30 18:20,别克,凯越,淘车,,,
沈阳,2017/6/30 18:17,别克,凯越,百姓,,,
大同,2017/6/30 18:16,别克,凯越,二手车之家,,,
泉州,2017/6/30 18:15,别克,凯越,淘车,,,
宁波,2017/6/30 18:15,别克,凯越,淘车,,,
大连,2017/6/30 18:12,别克,凯越,淘车,,,
上饶,2017/6/30 18:08,别克,凯越,淘车,,,
北京,2017/6/30 18:06,别克,凯越旅行车,二手车之家,北京亿车福旧机动车经纪有限公司,网络媒体,3
